date,product_name,tagline,upvotes,url
2025-07-30,Rustic AI ,Your visual AI design editor,62,https://www.producthunt.com/products/rustic-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,Setter AI,Turn website visitors into booked calls,58,https://www.producthunt.com/products/setter-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,Tesla Diner,"24/7 Diner where you can eat, charge, and watch movies",56,https://www.producthunt.com/products/tesla-diner?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,ToolSDK.ai,"5000+ MCP Servers AI Tools, 1 Lines of Code",55,https://www.producthunt.com/products/toolsdk-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,OpenWispr,100% local open source AI speech-to-text model,55,https://www.producthunt.com/products/openwispr-open-source-ai-speech-to-text?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,DesignQA,The fastest way to report design bugs,55,https://www.producthunt.com/products/designqa?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,Droidrun,Give AI native control of physical & virtual phones.,55,https://www.producthunt.com/products/droidrun-framework-for-mobile-agent?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,Meet-Ting,Free AI assistant for email scheduling in early access,54,https://www.producthunt.com/products/meet-ting?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,Candlestick AI,"Invest in custom portfolio ideas, researched by AI agents",54,https://www.producthunt.com/products/candlestick-ai-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-30,ChatGPT study mode,A new way to learn with ChatGPT,54,https://www.producthunt.com/products/openai-api?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,RunLLM,AI that doesn’t just respond—it resolves,520,https://www.producthunt.com/products/runllm-the-ai-support-engineer?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,Magic Patterns,Design new features with AI,506,https://www.producthunt.com/products/magicpatterns?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,PodClips,Turn your podcasts into viral video content,399,https://www.producthunt.com/products/fluent-frame?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,Jotform Gmail Agent,Automatically draft Gmail replies that sound just like you,320,https://www.producthunt.com/products/jotform?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,SideNotes,Quick notes on screen edge,263,https://www.producthunt.com/products/sidenotes-3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,Wan 2.2,The first open MoE model for AI video generation,179,https://www.producthunt.com/products/wan-2-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,Notion-style editor for Tiptap Cloud,Collaborative block-based editor → ready to drop in your app,162,https://www.producthunt.com/products/tiptap?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,sndmyself,The simplest way to send yourself a message,156,https://www.producthunt.com/products/sndmyself?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,Lumo by Proton,Privacy-first AI assistant with confidential conversations,139,https://www.producthunt.com/products/proton-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-29,Layout.dev,Turn ideas into prototypes — in seconds,128,https://www.producthunt.com/products/layout-dev?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,CopyCat,Build browser automations with AI,567,https://www.producthunt.com/products/copycat-5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Doco,Cursor for Microsoft Word,451,https://www.producthunt.com/products/doco-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Nitrode ,AI game engine to prototype 3D games in a day,366,https://www.producthunt.com/products/nitrode-ai-game-engine?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Unitree R1,Ultra-lightweight humanoid robot starting at $5900,285,https://www.producthunt.com/products/unitree-g1?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Ahey,"A free and open-source, embeddable video conference app.",198,https://www.producthunt.com/products/ahey-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Singify AI Vocal Remover,Remove vocals from any song,153,https://www.producthunt.com/products/singify-ai-vocal-remover?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Chive,The macOS companion for Claude Code,152,https://www.producthunt.com/products/chive?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Guidey,Add modern onboarding tours to your product in minutes,135,https://www.producthunt.com/products/guidey?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Aeneas,AI that helps historians connect the past,125,https://www.producthunt.com/products/aeneas?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-28,Web ,A free macOS AI browser ,123,https://www.producthunt.com/products/web-macos-ai-browser-free?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,HuHu AI Agent for E-Commerce,AI E-com agent that converts 5x more from just a URL,588,https://www.producthunt.com/products/huhu-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,findable.,Get to #1 on ChatGPT w/ SEO 2.0,571,https://www.producthunt.com/products/findable-3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,AI Phone Screener by Hyring,Screen 1000 candidates before lunch,283,https://www.producthunt.com/products/ai-interviewer-by-hyring?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,One Dollar Resume Review,Professional resume review for just $1,251,https://www.producthunt.com/products/one-dollar-resume-review?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,BugPic,"Identify any insect in seconds, just by snapping a photo",218,https://www.producthunt.com/products/bugpic-insect-identifier?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,Bilbo,Metabase AI Agent,167,https://www.producthunt.com/products/bilbo?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,Google Search Web Guide,An experimental AI-organized search results page,154,https://www.producthunt.com/products/google-labs?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,Big Weather,"Crafted for calm, clear skies",149,https://www.producthunt.com/products/big-weather-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,HunyuanWorld 1.0,From a word or image to an explorable 3D scene,141,https://www.producthunt.com/products/hunyuanworld-1-0?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-27,Annot8,The fastest way to tag images for object detection datasets,122,https://www.producthunt.com/products/annot8-object-detection-image-labeling?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-26, Runway Aleph,"A new way to edit, transform and generate video",334,https://www.producthunt.com/products/runwayml?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-26,Quicko Pro,Practice management software for accountants,322,https://www.producthunt.com/products/quicko-pro?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
